,bowler,runs_total,wickets,overs,economy,dot_balls,bowling_impact
0,A Gardner,251,6,25.0,10.04,43.0,37.5
1,A Reddy,193,2,22.0,8.77,31.0,-25.5
2,AB Kaur,206,4,21.0,9.81,40.0,17.0
3,AC Kerr,210,14,28.0,7.5,65.0,240.0
4,CA Henry,249,14,29.0,8.59,73.0,228.5
5,CL Tryon,116,2,11.0,10.55,18.0,0.0
6,DB Sharma,220,7,25.0,8.8,43.0,73.0
7,DJS Dottin,109,2,9.0,12.11,16.0,1.5
8,G Voll,12,0,1.0,12.0,1.0,-5.0
9,G Wareham,197,7,21.4,9.09,38.0,79.5
10,GM Harris,22,2,3.0,7.33,6.0,35.0
11,HK Matthews,143,5,14.0,10.21,24.0,52.5
12,Happy Kumari,10,0,1.0,10.0,1.0,-4.0
13,K Goud,187,3,23.0,8.13,65.0,31.5
14,KS Gautam,277,8,29.0,9.55,65.0,86.5
15,LCN Smith,80,0,8.0,10.0,14.0,-26.0
16,LK Bell,199,12,36.0,5.53,128.0,268.5
17,LK Hamilton,73,0,7.2,9.95,19.0,-17.5
18,M Kapp,256,10,40.0,6.4,122.0,194.0
19,M Mani,174,6,21.0,8.29,30.0,63.0
20,N Shree Charani,313,14,37.4,8.31,64.0,187.5
21,N de Klerk,251,16,32.0,7.84,68.0,262.5
22,NJ Carey,178,8,20.0,8.9,45.0,116.0
23,NR Sciver-Brunt,247,8,26.0,9.5,58.0,94.5
24,NSS Sharma,316,17,38.0,8.32,76.0,258.0
25,P Rawat,16,2,3.0,5.33,11.0,43.0
26,RP Yadav,148,2,19.0,7.79,35.0,1.0
27,RS Gayakwad,178,11,22.0,8.09,58.0,189.0
28,Renuka Singh,219,7,27.0,8.11,79.0,109.5
29,S Asha,167,3,18.0,9.28,35.0,11.5
30,S Ecclestone,213,7,28.0,7.61,67.0,100.5
31,S Gupta,65,1,8.0,8.12,17.0,4.5
32,S Ishaque,13,0,1.0,13.0,2.0,-4.5
33,S Ismail,173,6,28.0,6.18,93.0,126.5
34,S Pandey,240,7,30.0,8.0,70.0,90.0
35,S Rana,174,1,16.0,10.88,25.0,-42.0
36,S Sajana,7,0,0.1,42.0,0.0,-3.5
37,SFM Devine,272,17,32.5,8.28,79.0,283.0
38,SG Satghare,175,9,20.0,8.75,49.0,141.5
39,SR Patil,275,11,30.3,9.02,67.0,149.5
40,Shafali Verma,74,4,9.0,8.22,18.0,61.0
41,T Vasistha,23,0,2.0,11.5,3.0,-8.5
42,TP Kanwar,118,0,14.0,8.43,13.0,-46.0
43,Vaishnavi Sharma,56,1,8.0,7.0,13.0,5.0
